title,authors,formats,isbn,published_year
"The Book That Wouldn’t Burn (The Library Trilogy, #1)",Mark Lawrence,,593437918,2023
"The Right Thing to Do (Rights and Wrongs, #1)",LovesBitca8,,,
Draco Malfoy and the Mortifying Ordeal of Being in Love,isthisselfcare,,,2021
"The Book of Azrael (Gods and Monsters, #1)",Amber V. Nicole,,,2022
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,,375826696,2002
Murder on the Orient Express,Agatha Christie,,9780007119318,1934
Elektra,Jennifer Saint,,125077361X,2022
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,,1423113381,2010
Wrath of the Triple Goddess,Rick Riordan,,9781368113946,2024
"The Chalice of the Gods (Percy Jackson and the Olympians, #6)",Rick Riordan,,1368098177,2023
The Last Olympian,Rick Riordan,,9781423101475,2008
The Battle of the Labyrinth,Rick Riordan,,9781423101499,2008
Percy Jackson and the Titan's Curse,Rick Riordan,,9780141919133,2008
The Sea of Monsters,Rick Riordan,,9780120000319,2006
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,,62085506,2011
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,,,2019
A Shadow in the Ember,Jennifer L. Armentrout,,9781952457494,2021
A Soul of Ash and Blood,Jennifer L. Armentrout,"azw3, epub",1957568461,2023
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J. K. Rowling & Jack Thorne & John Tiffany,,9781781105528,2017
Kvitleik,Jon Fosse,,9788234009815,2023
The Creative Act: A Way of Being,Rick Rubin,,9780593652886,2023
The Pumpkin Spice Café,Laurie Gilmore,,9780008759827,2023
James: A Novel,Percival Everett,,9780385550376,2024
The Virgin Suicides,Jeffrey Eugenides,,9780747560593,1993
The Boyfriend,Freida McFadden,,1728296226,2024
City of Lost Souls,Cassandra Clare,,9781442416864,2012
City of Fallen Angels,Cassandra Clare,,9781442403543,2010
City of Ashes,Cassandra Clare,,9781416914297,2008
City of Glass,Cassandra Clare,,9781416914303,2009
City of Bones,Cassandra Clare,,9781416914280,2007
The Book Thief,Markus Zusak,mobi,,2005
All the Bright Places,Jennifer Niven,,9780385755900,2015
Vicious,V. E. Schwab,,9781250183507,2013
A Thousand Splendid Suns,Khaled Hosseini,,1594489505,2007
The Kite Runner,Khaled Hosseini,,,2003
Finlay Donovan Is Killing It,Elle Cosimano,,9781250241702,2021
What My Bones Know: A Memoir of Healing From Complex Trauma,Stephanie Foo,,9780593238103,2022
Full Spredning,Nina Lykke,,824952151X,2019
Mors og fars historie,Edvard Hoem,,9788249505142,2007
What I Talk About When I Talk About Running,Haruki Murakami,,9781448103737,2007
Sjur Gabriel (Hellemyrsfolket #1),Amalie Skram,,,1887
Karens Jul,Amalie Skram,,8283191357,1885
The Old Man and the Sea,Ernest Hemingway,,684830493,1952
Hva Hun Klager Over Når Hun Klager Over Husarbeidet,Heidi Linde,,8205539294,2020
Femten År. Den Revolusjonære Våren,Vigdis Hjorth,,9788202762735,2022
Er mor død,Vigdis Hjorth,,9788202671822,2020
Arv og miljø,Vigdis Hjorth,,9788202512736,2016
Gjentakelsen,Vigdis Hjorth,,9788202801328,2023
En moderne familie,Helga Flatland,,9788203362361,2017
"Min Kamp 1 (Min Kamp, #1)",Karl Ove Knausgård,,8252574580,2009
"Bienes Historie (Klimakvartetten, #1)",Maja Lunde,epub,8203359353,2015
Fuglane,Tarjei Vesaas,,8205367078,1957
Liv andre har levd,Edvard Hoem,"epub, mobi",9788249518883,2017
"Hekneveven (Hekne, #2)",Lars Mytting,,8205539057,2020
Skråpånatta,Lars Mytting,,8205569797,2023
"Poverty, by America",Matthew Desmond,,9780593239919,2023
The Radium Girls: The Dark Story of America’s Shining Women,Kate Moore,,149264935X,2016
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"azw3, epub",,2019
None of This Is True,Lisa Jewell,,1982179007,2023
How to Keep House While Drowning,Kc Davis Lpc,,9781668002858,2022
Outlive: The Science & Art of Longevity,Peter Attia & Bill Gifford,,9780593236598,2023
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,,670785938,2014
Cultish: The Language of Fanaticism,Amanda Montell,,62993151,2021
The Psychology of Money,Morgan Housel,,857197681,2020
The Hundred Years' War on Palestine,Rashid Khalidi,,1250787653,2020
Maybe You Should Talk to Someone,Lori Gottlieb,,1328662055,2019
Educated,Tara Westover,,,2018
Crying in H Mart,Michelle Zauner,,9780525657743,2021
The Cruel Prince,Holly Black,,9780316310284,2018
"Icebreaker (UCMH, #1)",Hannah Grace,,,2022
Mexican Gothic,Silvia Moreno-Garcia,,,2020
I Who Have Never Known Men,Jacqueline Harpman,,152911179X,1995
This Is How You Lose the Time War,Amal El-Mohtar & Max Gladstone,,9781534430990,2019
Manacled,SenLinYu,,,2000
Circe,Madeline Miller,,316556343,2018
Babel,R. F. Kuang,,9780063021426,2022
Bright Young Women,Jessica Knoll,,1501153226,2023
Rock Paper Scissors,Alice Feeney,,9781250266101,2021
"The Maid (Molly the Maid, #1)",Nita Prose,,,2022
The Silent Patient,Alex Michaelides,"azw3, epub",1250301696,2019
"The Housemaid (The Housemaid, #1)",Freida McFadden,,1803144378,2022
The Berry Pickers,Amanda Peters,,1646221958,2023
The Covenant of Water,Abraham Verghese,,802162177,2023
Daisy Jones & the Six,Taylor Jenkins Reid,,9781524798628,2019
Lessons in Chemistry,Bonnie Garmus,,9780385549400,2022
Carrie Soto Is Back,Taylor Jenkins Reid,,593158687,2022
Protocols: An Operating Manual for the Human Body,Andrew D. Huberman,,1668032147,
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,,525556575,2025
Black in Blues: How a Color Tells the Story of My People,Imani Perry,,62977393,2025
The JFK Conspiracy: The Secret Plot to Kill Kennedy―and Why It Failed,Brad Meltzer,,1250790573,2025
"You'll Never Believe Me: A Life of Lies, Second Tries, and Things I Should Only Tell My Therapist",Kari Ferrell,,9781250288226,
Where Shadows Meet,Patrice Caldwell,,9781250815347,2025
They Bloom at Night,Trang Thanh Tran,,1547611111,2025
The Primal of Blood and Bone,Jennifer L. Armentrout,,9781963135411,2025
"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,,356522962,2025
The Starlight Heir,Amalie Howard,,63355841,2025
Out of the Woods,Hannah Bonam-Young,,9780593871867,2025
"Black Woods, Blue Sky",Eowyn Ivey,,593231023,2025
Water Moon,Samantha Sotto Yambao,,9780593724996,2025
This Book Will Bury Me,Ashley Winstead,,1728270006,2025
The Queens of Crime,Marie Benedict,,9781250280756,2025
Beautiful Ugly,Alice Feeney,,9781250337788,2025
The Emperor of Gladness,Ocean Vuong,,059383187X,2025
A Man Called Ove,Fredrik Backman,,9781476738017,2012
My Friends,Fredrik Backman,,9781982112820,2025
The Names,Florence Knapp,,593833902,2025
The Bright Years,Sarah Damoff,,9781668061442,2025
Wild Dark Shore,Charlotte McConaghy,,9781250827951,2025
Dream Count: A Novel,Chimamanda Ngozi Adichie,,9780593802731,2025
Three Days in June,Anne Tyler,,593803485,2025
Good Dirt,Charmaine Wilkerson,,593358368,2025
The Stolen Queen,Fiona Davis,,9780593474273,2025
The Space Between,Diana Gabaldon,,9780553392111,2014
Mockingjay,Suzanne Collins,,9781407132105,2010
Catching Fire,Suzanne Collins,,9781407132099,2009
The Hunger Games,Suzanne Collins,,9780439023528,
The Love Elixir of Augusta Stern,Lynda Cohen Loigman,,1250278104,2024
Behind Every Good Man,Sara Goodman Confino,,9781662517716,2024
There Are Rivers in the Sky,Elif Shafak,,593801717,2024
Anita De Monte Laughs Last,Xóchitl González,,1250786215,2024
The Seventh Veil of Salome,Silvia Moreno-Garcia,,593600266,2024
The Lion Women of Tehran,Marjan Kamali,,1668036584,2024
The Booklover's Library,Madeline Martin,,1335015132,2024
The Cinnamon Bun Book Store,Laurie Gilmore,,9780008641580,2024
An Academy for Liars,Alexis Henderson,,9780593638309,2024
The Familiar,Leigh Bardugo,,9781250884251,2024
Women in the Valley of the Kings: The Untold Story of Women Egyptologists in the Gilded Age,Kathleen Sheppard,,9781250284358,2024
Nexus: A Brief History of Information Networks From the Stone Age to AI,Yuval Noah Harari,"azw3, epub",059373422X,2024
The Bookshop: A History of the American Bookstore,Evan Friss,,9780593299920,2024
All in Her Head: The Truth and Lies Early Medicine Taught Us About Women's Bodies and Why It Matters Today,Elizabeth Comen,,9780063293014,2024
Margo's Got Money Troubles,Rufi Thorpe,,63356589,2024
Good Material,Dolly Alderton,,9780241523674,2023
Here One Moment,Liane Moriarty,,593798600,2024
Blue Sisters,Coco Mellors,,593723767,2024
The Wedding People,Alison Espach,,9781399622752,2024
Husbands & Lovers,Beatriz Williams,,593724224,2024
By Any Other Name,Jodi Picoult,,059349721X,2024
The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,,593655036,2024
The Great Alone,Kristin Hannah,,,2018
Felemakaren,Edvard Hoem,,9788252590647,2020
Jordmor på jorda: huset under Blåhammaren,Edvard Hoem,,9788249519804,2018
Dune Messiah,Frank Herbert,"azw3, epub, original_epub",9780593098233,1969
"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,,1250857430,2023
Dead Until Dark,Charlaine Harris,,9780441008537,2001
The Design of Everyday Things,Donald A. Norman,"azw3, epub",,1988
It's Not Hysteria: Everything You Need to Know About Your Reproductive Health (But Were Never Told),Karen Tang,,1250894158,2024
"Goldfinch (The Plated Prisoner, #6)",Raven Kennedy,"azw3, epub",,2024
"Glow (The Plated Prisoner, #4)",Raven Kennedy,"azw3, epub",,2022
"Gleam (The Plated Prisoner, #3)",Raven Kennedy,"azw3, epub",,2021
"Gild (The Plated Prisoner, #1)",Raven Kennedy,"azw3, epub",,2020
"Glint (The Plated Prisoner, #2)",Raven Kennedy,"azw3, epub",,2022
"Gold (The Plated Prisoner, #5)",Raven Kennedy,"azw3, epub",1464224455,2023
Intermezzo,Sally Rooney,"azw3, epub",374602638,2024
The Women,Kristin Hannah,,1250178630,2024
How to Take Smart Notes,Sönke Ahrens,"azw3, epub",9783982438818,2022
The Space Between,Brenna Yovanoff,,9781595143396,2011
"The Nervous System Reset: Heal Trauma, Resolve Chronic Pain, and Regulate Your Emotions With the Power of the Vagus Nerve",Jessica Maguire,,9781538757123,2024
Maskiner som tenker,Inga Strümke,,9788248932505,2023
My Brilliant Friend,Elena Ferrante,,9781609458638,2012
Din Vilje Skje,Anne-Britt Harsem,,9788202771478,2023
Skammens mødre,Anita Østerbø,,9788230350072,2021
ADHD. 7 Veier Til Ny Forståelse,Kristin Leer,,9788202662349,2021
Syklusboka: fra skam til styrke,Mathilde Okkenhaug Pilskog,,9788242977861,2023
"Romancing Mister Bridgerton: Bridgertons, Book 4",Julia Quinn,,,2002
Bridgerton: The Viscount Who Loved Me,Julia Quinn,,,2000
Det glemte århundre,Atle Næss,,9788205573062,2022
The Duke and I: Bridgerton,Julia Quinn,,9780063142121,2021
Everything I Know About Love,Dolly Alderton,,9780062968784,2018
A Little Life,Hanya Yanagihara,"azw3, epub",9780385539265,2024
Frisk nok - håndbok i immunforsvar,Anne Spurkland,,9788243013766,2021
Crying in H Mart: The Number One New York Times Bestseller,Unknown,,,2023
"Å Sette Sammen Bitene: Min Historie Om Vold, Skam Og Reparasjon",Unknown,,,2023
Mengele Zoo,Gert Nygårdshaug,,9788418067808,1989
JEG ER ZLATAN,David Lagercrantz,,9788281691704,2011
Skammens barn: Dokumentarroman,Veslemøy Kjendsli,,9788240300081,1986
Harry Potter og Føniksordenen,J. K. Rowling,,9788202523282,2003
Sovjetistan,Erika Fatland,,9788248914853,2014
Mens Alle Andre Kysser,Camilla Wandahl,,9788763850346,2017
Homecoming,Christie Golden,,9780743467544,2003
"Det Er Dine Øyne Jeg Ser: Om Forbrytelse, Straff Og Forsoning",Knut Storberget,,9788203293269,2012
21 tanker for det 21. århundre,Yuval Noah Harari,,9788202586997,2018
The Stalker,Bill Pronzini,,9781612321042,2011
Sapiens: en kort historie om menneskeheten,Yuval Noah Harari,,9788280878021,2017
Exphil før eksamen,Arne Strand & Are Lervik,,9788202444815,2014
I All Evighet - Del 2,Unknown,,,2020
I All Evighet - Del 1,Unknown,,,2020
Mellom to Verdener,Kathleen Grissom,,9788202528546,2016
Slottets siste hemmelighet,Santa Montefiore,,9788283131536,2017
Deverillslottets døtre,Santa Montefiore,,9788283131475,2016
De Som Dreper Drømmer Sover Aldri,Jan Guillou,,9788241917400,2018
Hviskeren,Karin Fossum,,9788202529130,2012
Hva er det med mor,Vigdis Hjorth,,9788202188658,2000
A Beautiful Composition of Broken,r.h. Sin,"azw3, epub",,2017
1984,George Orwell,"azw3, epub",9780547249643,1983
1984 (Nineteen Eighty-Four) with Quoates,George Orwell,"azw3, epub",,2021
The Awakening,Caroline Peckham & Susanne Valenti,"azw3, epub",9781914425028,2019
Fated Throne,Caroline Peckham & Valenti,"azw3, epub",9781914425080,2021
Zodiac Academy 8: Sorrow and Starlight,Caroline Peckham & Susanne Valenti,"azw3, epub",,2022
You Are Not Who You Think You Are: Poems that can awaken you,Sarfraz Zaidi MD,"azw3, epub",,2015
You: A Novel,Caroline Kepnes,"azw3, epub",147113735X,2014
Wreckage,Emily Bleeker,"azw3, epub",,2015
Whisper of Witches (The Whisper of Witches series Book 1),Nikita Rogers,"azw3, epub",,2021
Whiskey Words & a Shovel III: 3,r.h. Sin,"azw3, epub",,2017
Whiskey Words & a Shovel II: 2,r.h. Sin,"azw3, epub",,2016
What Really Happened in Peru (The Bane Chronicles ),Cassandra Clare & Sarah Rees Brennan,"azw3, epub",9781442494787,2013
"We Should Hang Out Sometime: Embarrassingly, a true story",Josh Sundquist,"azw3, epub",,2014
Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estes,"azw3, epub",,2017
Warlock of Muscovy (Sun War Trilogy),Brien Feathers,"azw3, epub",,2023
Uncaged Wallflower,Jennae Cecelia,"azw3, epub",,2016
"Winter of the World (The Century Trilogy, Book 2)",Ken Follett,"azw3, epub",,2012
Ugly Love: A Novel,Colleen Hoover,"azw3, epub",,2014
Tusen strålende soler,Khaled Hosseini,epub,,2011
"Truthful Art, The (Voices That Matter)",Alberto Cairo,"azw3, epub",,2016
Top Ten Clues You're Clueless,Liz Czukas,"azw3, epub",,2014
Tragic Kingdoms: The Dark & The Damned - Novel One,Kell Frillman,"azw3, epub",,2023
Tower of Dawn (Throne of Glass),Sarah J. Maas,"azw3, epub",1639731040,2017
Throne of Glass: 1,Sarah J. Maas,"azw3, epub",9781408832332,2012
"Those Who Leave and Those Who Stay: Neapolitan Novels, Book Three",Elena Ferrante,"azw3, epub",,2014
This Is Me Letting You Go,Heidi Priebe,"azw3, epub",,2016
Tollak Til Ingeborg,Tore Renberg,epub,9788202645625,2020
Thirteen Reasons Why,Jay Asher,"azw3, epub",,2011
"This Woven Kingdom: the brand new YA fantasy romance series from the author of TikTok Made Me Buy It sensation, Shatter Me (This Woven Kingdom)",Tahereh Mafi,"azw3, epub",,2022
The Umbra King (Vincula Realm Book 1),Jamie Applegate Hunter,"azw3, epub",9781959285526,2022
The Tragedy of Romeo and Juliet (Illustrated),William Shakespeare,"azw3, epub",,2014
The Summer of Broken Rules,K. L. Walther,"azw3, epub",9781728210308,2021
The Storm King: An Enemies to Lovers Fantasy Romance,Sara Sellers,"azw3, epub",,2023
The Stars Plot Revenge (The Fallasingha Chronicles Book 1),L.J Kerry,"azw3, epub",,2022
"The Story of the Lost Child: Neapolitan Novels, Book Four",Elena Ferrante,"azw3, epub",,2015
The Story of a New Name (Neapolitan Novels Book 2),Elena Ferrante,"azw3, epub",,2013
The Shield of Hope: Book One (The Cursed Fates 1),Anna Lynn Hammar,"azw3, epub",,2022
The Secret History (Vintage Contemporaries),Donna Tartt,"azw3, epub",1400031702,2011
The Sea of Zemira: An Epic Fantasy Romance (The Zemiran Chronicles Book 1),D.L. Blade,"azw3, epub",,2023
The Secret Commonwealth: The Book of Dust Volume Two (Book of Dust 2),Philip Pullman,"azw3, epub",9780241373361,2019
The Sapphire Oath (The Nimra World Book 1),Melanie Davies,"azw3, epub",9798776342301,2022
The School for German Brides,Aimie K. Runyan,"azw3, epub",,2022
The Reluctant Witch: Year One (Santa Cruz Witch Academy Book 1),Kristen S. Walker,"azw3, epub",,2020
The Stand,Stephen King,"azw3, epub",,2008
The Risk (Mindf*ck Series #1),S.T. Abby,mobi,,2016
"The PARA Method: Simplify, Organize, and Master Your Digital Life",Tiago Forte,"azw3, epub",,2023
The Notebook: The love story to end all love stories (Calhoun Family Saga),Nicholas Sparks,"azw3, epub",,2011
The Mortal Instruments 6: City of Heavenly Fire,Cassandra Clare,"azw3, epub",9781406355062,2014
"The Maze Runner (The Maze Runner, Book 1)",James Dashner,"azw3, epub",9780375893773,2009
The Mark of Athena (Heroes of Olympus Book 3) (Heroes Of Olympus Series),Rick Riordan,"azw3, epub",9780141967561,2012
The London Séance Society,Sarah Penner,"azw3, epub",,2023
The Last Time I'll Write About You,Dawn Lanuza,"azw3, epub",,2016
The Kubernetes Book: 2024 Edition,Nigel Poulton,"azw3, epub",,2017
"The Outlander Series Bundle: Books 1, 2, 3, and 4 (Outlander Bundle)",Diana Gabaldon,"azw3, epub",,2015
The Jane Austen Society: The internationally bestselling debut that has won readers' hearts in 2021,Natalie Jenner,"azw3, epub",9781409194132,2020
"The Kane Chronicles: The Complete Series (Books 1, 2, 3)",Rick Riordan,"azw3, epub",9780141352039,2013
The Hunter: Tales of Pern Coen,Hannah E Carey,"azw3, epub",,2020
"The Outlander Series Bundle: Books 5, 6, 7, and 8 (Outlander Bundle)",Diana Gabaldon,"azw3, epub",,2015
The Hungry Student Vegetarian Cookbook,Charlotte Pike,"azw3, epub",,2013
The Governess Gamble (The Duchess Society Book 7),Tracy Sumner,"azw3, epub",,2022
The Foxhole Court (All for the Game Book 1),Nora Sakavic,"azw3, epub",,2013
"The House of Hades (The Heros of Olympus, Book 4)",Rick Riordan,"azw3, epub",,2013
The Devil on the Doorstep: My Escape From a Satanic Sex Cult,Annabelle Forest,"azw3, epub",9781471136696,2014
"The Dream Thieves (The Raven Cycle, Book 2)",Maggie Stiefvater,"azw3, epub",,2013
"The Complete Works of William Shakespeare (37 plays, 160 sonnets and 5 Poetry Books With Active Table of Contents)",William Shakespeare,"azw3, epub",,2014
The Chaos of Longing,K. Y. Robinson,"azw3, epub",,2016
The Butterfly Garden (The Collector Book 1),Dot Hutchison,"azw3, epub",9781503934719,2016
The Blood of Olympus (Heroes of Olympus Book 5) (Heroes Of Olympus Series),Rick Riordan,"azw3, epub",9780141339238,2014
The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,"azw3, epub",9780702309519,2020
Teen Angst? Naaah . . .,Ned Vizzini,"azw3, epub",9780307815545,2012
The Air He Breathes,Brittainy Cherry,"azw3, epub",,2015
Stuff I've Been Feeling Lately,Alicia Cook,"azw3, epub",,2017
"Stubborn Spark (Wild Scots, #5)",Jolie Vines,"azw3, epub",,2020
Spis deg fri med Bright line eating,Susan Peirce Thompson,epub,9788299961424,2017
"Short Stories From Hogwarts of Heroism, Hardship and Dangerous Hobbies",J. K. Rowling,"azw3, epub",9781781106280,2016
Side Effects May Vary,Julie Murphy,"azw3, epub",,2014
Siege and Storm (The Shadow and Bone Trilogy Book 2),Leigh Bardugo,"azw3, epub",,2013
salt.,nayyirah waheed,mobi,,2013
Revenant: A Dark Paranormal Romance For Adults (The War of Blood and Roses Book 1),R. Valentine,mobi,,2018
Shadow and Bone (The Shadow and Bone Trilogy Book 1),Leigh Bardugo,"azw3, epub",805094598,2012
Refuse to Be Done: How to Write and Rewrite a Novel in Three Drafts,Matt Bell,"azw3, epub",,2022
Realm of Lore and Lies,Claire Wright,"azw3, epub",,2022
"Read This If: A Collection of Essays that Prove Someone Else Gets it, Too",Thought Catalog,"azw3, epub",,2016
Ravnens vinger,Margit Sandemo,epub,978-82-516-7977-0,2014
Redeeming Love,Francine Rivers,"azw3, epub",,2009
Reconstructing Amelia: A Novel,Kimberly McCreight,"azw3, epub",,2013
Queen of Roses: A Dark Fae Fantasy Romance (Blood of a Fae Book 1),Briar Boleyn,"azw3, epub",,2023
PYTHON LANGUAGE BASIC PROGRAMS: Programming for Beginners | Data Science Handbook | Engineering and Statistics,K A Alexandra,"azw3, epub",,2023
Python for Machine Learning: A Practical Guide,Blaise Yonga,"azw3, epub",,2023
Przewalskis hest,Maja Lunde,epub,9788203365157,2019
Praise (Salacious Players' Club),Sara Cate,"azw3, epub",,2022
"Perfect Storm (Wild Scots, #2)",Jolie Vines,"azw3, epub",,2020
Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,"azw3, epub",9780385530262,2010
Of Secrets and Beginnings (Beginnings and Endings Series Book 1),Ashlyn Rudd,"azw3, epub",,2023
Melody of Darkness (Spartan Academy Book 1),Redd Mercury,"azw3, epub",,2020
Minutes to Kill (Scarlet Falls),Melinda Leigh,"azw3, epub",,2015
Meatless: More Than 200 of the Very Best Vegetarian Recipes,Martha Stewart Living,"azw3, epub",9780307954572,2013
Mammas svik,Anne-Britt Harsem,epub,9788282810623,2012
Lord of the Flies,William Golding,"azw3, epub",,1959
Make Up (Enhanced Edition),Michelle Phan,mobi,9780804137355,2014
"Lion Heart (Wild Scots, #3)",Jolie Vines,"azw3, epub",,2020
Learning to Disagree,John D. Inazu,"azw3, epub",,2024
Life After Death: A Faerie Tale (Faerie Tales Book 1),T.R. Sharrow,mobi,,2023
Kiss of War: An Enemies-to-Lovers Romance (City of Stars Book 1),Clara Elroy,"azw3, epub",9786188533806,2021
Kings of Chaos: A Dark Romance (Dirty Broken Savages Book 1),Eva Ashwood,"azw3, epub",,2021
Kjærlighetsmønster,"Mathiesen, Anniken Lien",epub,978-82-03-37630-6,2021
La Belle Sauvage: The Book of Dust Volume One (Book of Dust Series),Philip Pullman,"azw3, epub",9780241365854,2017
Kingdom of Ash (Throne of Glass),Sarah J. Maas,"azw3, epub",9781526660893,2018
Jane Eyre (AmazonClassics Edition),Charlotte Brontë,"azw3, epub",9781542097574,2017
Ice Planet Barbarians,Ruby Dixon,"azw3, epub",,2015
